review,sentiment,movie_name
Kya kamaal ki acting thi! Shah Rukh Khan ne dil jeet liya. Blockbuster hit!,positive,Pathaan
Film ki kahani bahut hi dheemi aur boring thi. Interval ke baad dekhne ka mann nahi kiya.,negative,Laal Singh Chaddha
Ekdum family entertainer. Gaane aur music bahut acche hain. Double thumbs up!,positive,Jawan
Direction mein koi dum nahi tha. Paisa aur time barbad ho gaya.,negative,Sam Bahadur
Aamir Khan ki sabse behtareen filmon mein se ek. Comedy aur emotions ka perfect mix.,positive,3 Idiots
VFX itne kharab the ki poora experience spoil ho gaya. Disappointment.,negative,Adipurush
Hrithik Roshan ne aag laga di! Action sequence lajawab the. Must watch.,positive,War
Predictable plot aur overacting ka bhandaar. Bas ek baar dekh ke bhul jao.,negative,Kisi Ka Bhai Kisi Ki Jaan
Storyline itni strong thi ki aap kursi se hil nahi payenge. Masterpiece.,positive,Gangs of Wasseypur
"Lagta hai director ne sirf paise kamane ke liye film banayi hai, dil nahi lagaya.",negative,Radhe
Ranveer Singh ka performance outstanding hai. Aisi film roz nahi banti.,positive,Padmaavat
Second half bahut zyada drag kiya gaya hai. Editing bahut weak thi.,negative,Kalank
Pure Bollywood magic! Emotional scenes ne rula diya. Ekdum jhakas film!,positive,Bajirao Mastani
Background score itna loud tha ki dialogues samajh nahi aa rahe the. Headache.,negative,Shamshera
Ek nayi soch aur naye concept wali film. Bahut dino baad kuch alag dekha.,positive,Andhadhun
Isse behtar toh TV serial dekh lete. Film mein koi naya pan nahi hai.,negative,Heropanti 2
Deepika Padukone ki screen presence lajawab hai. Poori team ne bahut mehnat ki.,positive,Chennai Express
Climax bahut hi weak tha. Poori film ki mehnat bekar ho gayi.,negative,Thugs of Hindostan
Aisa lagta hai ki filmmakers ne audience ko bewakoof samjha hai. Zero content.,negative,Race 3
Shah Rukh aur Kajol ki chemistry unmatched. Har scene mein pyaar hai. Classic!,positive,Dilwale Dulhania Le Jayenge